reviewText,encoded_topic
Too small,1
This costume is not the correct size that it is labeled ass! Like 2 sizes smaller than what it actually is tagged as. No good. Had to return it.,1
"The leather is of a different quality than my older pairs, it is thick and fake looking.The SQUEAKING was horrendous with socks when I wore pants. I stabbed the stole 10 or 15 times to make the annoying & embarrassing noise go away.NO LUCK! It took me around 8 months of regular wear for them to quieten down. In the future, I will pay more at Belk's to own a pair, because OBVIOUSLY quality offered here vis-a-vi departments stores is much lower.",0
" veri disappoint , i expect much larger peac sign receiv .there two differ size list product descript one two inch second inch pretti gener .definit return .",1
"Sadly, the bras that were received were made of a synthetic material, with no cotton lining whatsoever and had underwire. I purchased these for my 90 year old great aunt. I would give zero stars to the seller. The one star is for the promptness of Amazon's shipping. We would return, but my aunt threw all the packaging away and insists that they'll be okay. But the bras are nothing like the photo. Additionally, there is no cotton lining, as listed in the product description and the bras have underwire, which also runs counter to the description. I have purchased many items through Amazon over the years - large & small items. This is only one of two negative experiences and only the first wrong item received. I will not order from this seller again.",1
Very poor quality. The wheels are plastic and very small (see photo) for the size of the backpack.  An inner pocket is terribly misaligned (see photo). Technically speaking there are only 4 pockets (not 5 as listed in product description) in which you can place your items.  The 4th so-called zipper pocket is not a pocket it is simply an extension.  When you remove the shoulder straps the back panel opening (with Velcro) you must find the matching Velcro to attach it to.  In my case it is missing.  There is no warranty or limited warranty attached to the backpack. The Sea-Tac Rolling Backpack did not meet my expectations.  I am returning it tomorrow.,1
This backpack that I ball it's not real it's a fake because the button start falling off the first time I use it. So I decided to take it to an actual store and they told me it's 100% fake. I would never buy from this buyer again I have I would have just spent the extra $30 to buy the real thing. So I actually did buy the real thing in comparison the fabric is a lot thinner and is not waterproof like the real thing. You can see in the the video.,0
"I was not impressed with my purchase.  The broom looked nothing like the picture.  Specifically, it hardly has any bristles.  I would not recommend purchasing this.",1
"Ordered in August, work in a dental office, no abuse to these shoes. They fall apart",1
" Unfortunately , pant simply far small wear .I wear 38x32 jean , dress pant , work khaki , name - multiple different brand n't fit exactly alike , I usually ca n't go wrong sizing .When I tried , I AT LEAST 2 '' even fastening .The 38s fit like 34s ...I sending back , since sizing n't even close .The tag show `` Young Men 's '' pant , may run small , unless I missed something , I n't see anything `` young men '' product description , even , one would think size 38 size 38 , .",1
