Text,Predicted,Target
"I purchased two pair in the last month, and thley both tore and ran before I was able to get  them on.  I will not be purchasing them again.",Quality Issue,Quality Issue
Got a run the first time I put them on,Quality Issue,Quality Issue
OMG! I got the largest size and opened it and thought my 100 lb daughter could easily wear them.  UGH!,Design Issue,Design Issue
Both pairs were purchased at the same time and my wife wore them once and they ripped. Not happy!,Quality Issue,Quality Issue
I am disappointed in this product. The pantyhose were so thin that they snagged extremely easy and had runs while putting them on. I had to buy a different pair of pantyhose because this product was ruined prior to the event.,Quality Issue,Quality Issue
I just received this today. A long scratch quickly appeared just after an hour wearing it. I'm not so happy.,Quality Issue,Quality Issue
I ordered the appropriate size and they were very small. They were also so shear they would have snagged on everything. I threw them away.,Design Issue,Design Issue
"This is not a ""non control top"" pair of tights as it still digs into my stomach despite going a size up. These are tighter than some of my other control top tights. Will not be purchasing again.",Design Issue,Design Issue
"I was very disappointed in these.  If they were a vegetable, I would describe them as rotten.  Each pair had been wore only two or three times before they ripped.  Too much money for that lack of quality.",Quality Issue,Quality Issue
Glad they were inexpensive because I wore them once to a wedding and by dinner I had a huge run in them.,Quality Issue,Quality Issue
"When I pulled them out of package they snagged instantly. Once in, they continued to snag throughout the night... my ring brushed up against my leg and that instantly ripped them. Very poor quality, especially for the price! Would not recommend.",Quality Issue,Quality Issue
The stockings appeared to be irregular. I actually ordered a size larger than normal and they were still too small.,Design Issue,Design Issue
Sizing is not even close to correct sleeves are way out of proportion.,Design Issue,Design Issue
"I suppose this is to keep costs and prices down, but it's still disappointing, as the product description did not point this out at the time.  Moreover, I learned last night that the same model (sans screw down crown) that I'd bought for my grandson also has died.  I think it lasted about as long as the warranty.  Now I'm embarrassed that I recommended it so highly to my son-in-law, and can only hope that his doesn't die in the next year or so.  No more Invictas for me.",Product Description Issue,Quality Issue
"I was so happy to find these because they've become difficult if not impossible to find in stores.  And I purposefully ordered Hanes with a cotton/poly blend so they'd be wrinkle-free and smooth under slacks.  When they came, I washed them right up and discovered that they are a very low quality cotton and, despite the polyester added, are rough feeling and come out of the wash quite wrinkled. The elastic waistband was also carelessly sewn.  I'm giving them two stars because of the lack of living up to either the product description or the brand reputation.",Product Description Issue,Product Description Issue
This product is plastic & the chain bracelet kept slipping out of the clip holder.  It didn't mention product description carefully enough & expected it to be a metal.,Product Description Issue,Product Description Issue
The one they sent me is soft sole and the product description said they would be rubber sole!! Feel soo disappointed!!! Fix it ASAP!!!!!!,Product Description Issue,Product Description Issue
"I purchased this, thinking it will arrive in 2 days! The page is VERY misleading, it says fulfilled by amazon, I was told by amazon customer service that I purchased it ""directly"" from the seller! Amazon should ensure product descriptions/ ""fulfilled by amazon"" tags are accurate!",Product Description Issue,Product Description Issue
"Very disappointed!  VERY BAGGY jeans for being called slender. No snugness to these!I would not wear except for working in the yard/garden. No way would I wear out to a social function, shopping etc.They fit nicely  from the top to the crotch area then they become very baggy.  Fit nothing like  they are shown in the product description photo.Not good for wearing with riding boots. Will have to shorten about 4 inches.The fabric is quite stretchy, soft, and comfortable.Would not buy!",Product Description Issue,Product Description Issue
"The product description clearly stated that this was the soft footbed version. I have significant foot issues and cannot wear the traditional Birkenstock cork foot bed; I need the soft version. Of course, the product that was shipped to me was not the soft version  it was the original birko  floor",Product Description Issue,Product Description Issue
"this product description says it is rubber sole and pictures show hardsole, but shoebuy shipped softsole to me. I called their costumer service, they are rude and insist that I placed an order on softsole. there are no where says softsole in this produce page and the order confirmation letter. Fix it.......",Product Description Issue,Product Description Issue
Why does the product description say they are made in China? Birks are made in Germany.,Product Description Issue,Product Description Issue
"I ordered these sweatpants based on the product description.  After wearing them once, small ""pills"" developed all over the pant legs.  As a result, after three days of wear, the pants look like they are five years old.  This is a poor quality product and should not be purchased.  The seller declined a refund based on their thirty day return policy.  They seemed not to care about a very disappointed customer.",Product Description Issue,Product Description Issue
"The product description says ""heavyweight"". However, it's actually much thinner and lighter than the old, worn out one that this was supposed to replace. The fit was good, it's just far too thin to be warm. I plan to return it and will try to find one that actually is ""heavyweight"" in practice, not just name.",Product Description Issue,Product Description Issue
"The shoe itself is beautifully constructed and my daughter love the second pair I ordered that fit her. However, with no sizing guide we had to go by what other reviews had said in ordering. We ordered a size larger than she normally wears. Turns out we should have ordered two sizes larger. They need to include an accurate sizing guide in the product description.",Product Description Issue,Product Description Issue
"Hello, I bought these shoes for my son, an airline pilot who goes through security quite frequently. He has a pair just like it, likes them very much,  and needed a new pair.The ""old"" pair has no steel shank in them and the new pair, in product description, states non-metallic shank. When my son went through airport security wearing the new shoes,  he set off the metal detector, with them off he did not. He had the shoes checked by a TSA person and a steel shank is visible.Consequently we are returning the shoes because they are not what the product description states and what he needs.",Product Description Issue,Product Description Issue
There was nothing wrong with this product.  I don't wear gold.  The product description should include the color of the case.  My monitor made it look silver.  It doesn't even indicate if it's a men's or women's watch. I returned the item promptly.  It's a men's watch by the way although the size would have been fine with me.,Product Description Issue,Product Description Issue
"The product description cleary advertises this as the 4107 TIMEX MILITARY QUARTZ WATCH but what I received is the ""Timex Men's T41711 Expedition Analog Camper Watch"". Granted both watches are of a similar style but that is no excuse for false advertising. DON'T BUY THIS.",Product Description Issue,Product Description Issue
