Text,Predicted,Target
"Fake, fake fake! Friend of mine ordered these for her daughter after she saw my daughters. They did not hold up, after a season of rain she started to see holes on the side of the boot. I ordered my daughters from the orig Hunter website, they are still going strong. If you're willing to spend this much, spend just $30 bucks more and get the REAL deal.",Product Issue,Product Issue
"This costume was shorter than appears on the model and ran small for the size. The leaves were a bit too fake, plastic ivy at the look more realistic.",Product Issue,Product Issue
"It's fake. It's not what I orderedDifferent patch, cheap materialI'd rate it 100 below zero",Product Issue,Product Issue
The glasses look the same as the image but the materials they are made of are cheap and they look fake. Not too happy.,Product Issue,Product Issue
"Absolutely fake. I wouldn't mind as they are better knockoffs than other brands, however, 80.00 is outrageous for fake glasses. I do have my original pair in the same color and everything, including the weight, is not similar. I thought I was getting a deal on real Carrera, but I was just being nave :(",Product Issue,Product Issue
"After several months of eyeing this product and saving up for it, I was thoroughly disappointed when I received it. For a $150+ watch, I expected the quality to be of a higher caliber. It not only felt faked it had CHEAP written all over it and on top of that after one day of wearing it, one of the stones had fallen out...talk about insult to injury! I will say that Amazon's return process is absolutely FABULOUS! There was not buyer's remorse and I have my money back. I'll just stick to my Fossil",Seller Issue,Product Issue
it looks gud but cant find it on the bulova website!! so i assume its a fake bulova :( which i am really disappointed about cause i spent 250$ for a fake watch !!,Product Issue,Product Issue
This is a knock off a total fake .... This is NOT THE REAL THING !!!!!and a very poorly done fake at that... The tag in back shows it as a cheap t shirt.....,Product Issue,Product Issue
"The shirts they send out are different from the pictures. They also are thin material and not quality at all like original authentic ralph lauren. They come with fake tags produced by some mark down company, and do not come with official blue and gold ralph lauren sale tags. Also they do not come in the original Polo By Ralph Lauren silver and blue bags. They come in a after market clear regular bag. These also lack the official stitching of real authentic Ralph Lauren shirts, you can not see the stitching around the collar, arm, or waist. This material is more like a Hanes undershirt and they are manufactured in unusual countries that Ralph Lauren does not list on its site. If you pay attention to the shirts and take time to examine you can see they are fake. The ponys on the shirt also are slightly different, there is excess stitch that is rough and goes across the legs instead of going behind. Also if you flip the shirt inside out you can see it is a regular shirt because they left the white shirt tags on the inside, and the tags have different locations and washing instructions that that on the collar. These are counterfeit shirts sold at a high price.",Product Issue,Product Issue
"OK, I mean, I'm pretty sure that these were acually FREE (plus $2.90 for shipping). So basically you pay $2.90 for a pair of sunglasses. They should not be used for anything more than going to a costume party as the Blues Brothers. They're a novelty. I always lose and break sunglasses, even the real ones, so I always buy the fake ones. If you are looking for a pair of cheap sunglasses to wear to the beach so you don't break or lose your real ones, don't even bother with this pair. They're THAT bad. You can get a pair for $6 that are polarized if you look around. These are extremely cheaply made, larger than you would think they would be (and therefore awkward), and they will break within a day.The only reason it earned 2 stars is because it cost less than $3. If it was $5, it would deserve 1 star.",Product Issue,Product Issue
"You are really paying for trash. I bought these in hopes that I would get one of the good pairs but the frames so do not fit. They look so fake even though they are not real, there are better ones out there, please don't waste the few cents it cost to but these.",Product Issue,Product Issue
The bra I received is not a real Hanes bra. It has a fake tag that says Made in Honduras and the quality of fabric is poor. Beware.,Product Issue,Product Issue
"Cheap, fake knockoffs",Product Issue,Product Issue
