Text,Predicted,Target
"Absolutely fake. I wouldn't mind as they are better knockoffs than other brands, however, 80.00 is outrageous for fake glasses. I do have my original pair in the same color and everything, including the weight, is not similar. I thought I was getting a deal on real Carrera, but I was just being nave :(",Product Authenticity Issue,Product Authenticity Issue
It's a fake and no original Carrera. Never ever!,Product Authenticity Issue,Product Authenticity Issue
The bra I received is not a real Hanes bra. It has a fake tag that says Made in Honduras and the quality of fabric is poor. Beware.,Product Authenticity Issue,Product Authenticity Issue
"This are fake Carrera sunglasses!! don't buy for any reason, For about $90 you expect to recibe original product, please Amazon take notice on Fake products",Product Authenticity Issue,Product Authenticity Issue
Very disappointedIt seems like fake! And It is made in China! Donnot buy It,Product Authenticity Issue,Product Authenticity Issue
"Very disappointed this is a fake scrub top tailored to look like greys anatomy but is fake. When I tried it didn't felt right, I ordered large which fits me perfect on my other greys anatomy scrub tops when this one felt smaller I compared side by side with one I bought from the uniform store and immediately realized this is a imitation.",Product Authenticity Issue,Product Authenticity Issue
Oddly shaped. I should have returned. I think I may have worn twice. Obviously fake and not good ones either. In joy bought because I wanted a shorter set than my other real strands.,Product Authenticity Issue,Product Authenticity Issue
"It seems fake and cheap, I couldn't give it as a present",Product Authenticity Issue,Product Authenticity Issue
poor qualitythe leather is thinlooks like plastic.. card pockets is too small for credit card.i am wondering if it is fake,Product Authenticity Issue,Product Authenticity Issue
"You get what you pay for. These will probably fit teenagers only... too big for kids, somewhat too small for most adults. Cheap, shopping-bag-plastic material, with fake stitching. The soles are a joke, fake velour covered cardboard. The straps that are supposed to hold up the 'shoe' to your calves are too large at the ankles, and too tight at the top on one shoe, stitched wrong at the factory, were ok on the other shoe (lol), and both fell off constantly. I went to a halloween party as a Roman Centurion, and ended up removing these like half an hour into the thing because they were such a drag... literally... dragging on the floor...",Product Authenticity Issue,Product Authenticity Issue
"I put them in the trash, they were fake.",Product Authenticity Issue,Product Authenticity Issue
These shorts are fake..they have a elastic spongy feel to them the stitching color is off. These are not 100% denim or Levi for that matter I want my money back and a apology,Product Authenticity Issue,Product Authenticity Issue
"These are fake (close looking though) and uncomfortable vs. the real deal. A solid fake, but fake nonetheless. Stay away.",Product Authenticity Issue,Product Authenticity Issue
very high quality fake,Product Authenticity Issue,Product Authenticity Issue
Looks like fake Chinese knockout. I had multiple rayban before. But this doesn't look like a real rayban.,Product Authenticity Issue,Product Authenticity Issue
These are fakes. I thought they felt weird and they don't have the RB on the nose piece like my other RayBans have. They feel shoddy too.,Product Authenticity Issue,Product Authenticity Issue
"Terrible! The glasses are fake!!!! Very thin! Have no weight to them, and it's not even the color i wanted. DO NOT have RAY BAN or RB no where on glasses!!! Cheap cheap cheap quality!!!!!!Don't waste your time or ur money because you will just return them!!!!!!",Product Authenticity Issue,Product Authenticity Issue
"Watch out, these are very clever fakes. They got me, don't let them get you too. If you go ahead and buy them anyways. Flick an authentic pair of Ray-Ban lens with your fingernail and listen to the sound. Then flick these lens and listen. You'll notice a distinct difference. I have 5 pairs of Ray-Bans I bought from ray-ban.com and they all have the same sound. The 2 pairs I bought from Hong Kong sound the same as each other, but different than the other 5 pairs I have. It's because they use a low quality lens and the color wears off. Please don't buy and support scammers.",Product Authenticity Issue,Product Authenticity Issue
"Authentic or fake, I don't know; but I can definitely say the New Wayfarers I bought from Sunglass Express are of lower quality than the pair I bought in 2011.Yes, the frames squeak and creak. Even though polarized, the light green G-15 lenses offer little protection from the sunshine. I found myself squinting through my $120 Ray-Bans. That's bogus. I was almost tempted to pop out the lenses and make sure they weren't polycarbonate plastic instead of the crystal green (glass) lenses I had been promised.Strangely enough, the RB2132 Ray-Ban New Wayfarer I bought from Sunglass Express is almost a carbon-copy of the $39.99 Kirkland Abruzzo frame offered by Costco. The only difference between the two is that the Ray-Ban front is flat across, and the bridge of the Kirkland frame is raised.I returned my RB2132s to Sunglass Express. I kept the Costco frames.",Product Authenticity Issue,Product Authenticity Issue
"I don't know if these were fake, or if they were just 2nd's or 3rd's. Felt very light in my hand......but they fit good.Then I went to clean the lenses......and they both moved around when I rubbed them. That shouldn't even happen with a $10 pair of shades. Nuff said!",Product Authenticity Issue,Product Authenticity Issue
"I bought these ignoring the poor reviews since they were sold by Amazon but the negative reviews were true. I don't know if they're fake, everything checked out, but they felt cheap, the arms creaked, and the lenses felt loose. I even went to sunglass hut to double check and they are definitely lower quality. They've been returned.",Product Authenticity Issue,Product Authenticity Issue
They're fake. I returned them. Went to sunglasses hut. Got real ones. Road off into the sunset on a unicorn wearing sunglasses I was certain had 100% UV protection.,Product Authenticity Issue,Product Authenticity Issue
"This item was a fake! I'm pretty bummed out as I purchased this with the assurance that the item Ships from and sold by Amazon.com. when I ordered it. I was invoiced by Amazon LLC/ Amazon Export Sales Inc. Upon reviewing this in greater details, I realized that this is a really good fake. Passes most tests, but 3 things gave it away: the case, the plastic-like finish of the gold, and the upside down R-B logo on the nose pad. Amazon says this item is now Item Under Review as being not the way it was described - a clear tell all that this item is a fake. P.S. Amazon is showing that this item is being sold by MagentaShop obviously with absolutely no needback.",Product Authenticity Issue,Product Authenticity Issue
